#Data for Z=76, E=0.2-100 keV
#     E              f1 
#   keV           e atom-1
1.0778132E+00  5.13692E+01
1.0832023E+00  5.13959E+01
1.0886183E+00  5.14218E+01
1.0940614E+00  5.14468E+01
1.0995317E+00  5.14702E+01
1.1050294E+00  5.14919E+01
1.1105545E+00  5.15120E+01
1.1161073E+00  5.15306E+01
1.1216878E+00  5.15475E+01
1.1272963E+00  5.15630E+01
1.1329328E+00  5.15770E+01
1.1385974E+00  5.15897E+01
1.1442904E+00  5.16009E+01
1.1500119E+00  5.16108E+01
1.1557619E+00  5.16194E+01
1.1615407E+00  5.16267E+01
1.1673484E+00  5.16322E+01
1.1731852E+00  5.16359E+01
1.1790511E+00  5.16380E+01
1.1849464E+00  5.16384E+01
1.1908711E+00  5.16372E+01
1.1968254E+00  5.16344E+01
1.2028096E+00  5.16300E+01
1.2088236E+00  5.16240E+01
1.2148677E+00  5.16166E+01
1.2209421E+00  5.16076E+01
1.2270468E+00  5.15971E+01
1.2331820E+00  5.15851E+01
1.2393479E+00  5.15716E+01
1.2455447E+00  5.15566E+01
1.2517724E+00  5.15402E+01
1.2580312E+00  5.15223E+01
1.2643214E+00  5.15030E+01
1.2706430E+00  5.14822E+01
1.2769962E+00  5.14599E+01
1.2833812E+00  5.14362E+01
1.2897981E+00  5.14110E+01
1.2962471E+00  5.13844E+01
1.3027283E+00  5.13562E+01
1.3092420E+00  5.13266E+01
1.3157882E+00  5.12955E+01
1.3223671E+00  5.12629E+01
1.3289790E+00  5.12288E+01
1.3356239E+00  5.11931E+01
1.3423020E+00  5.11559E+01
1.3490135E+00  5.11172E+01
1.3557586E+00  5.10768E+01
1.3625374E+00  5.10348E+01
1.3693500E+00  5.09912E+01
1.3761968E+00  5.09459E+01
1.3830778E+00  5.08990E+01
1.3899932E+00  5.08503E+01
1.3969431E+00  5.07999E+01
1.4039278E+00  5.07477E+01
1.4109475E+00  5.06965E+01
1.4180022E+00  5.06406E+01
1.4250922E+00  5.05829E+01
1.4322177E+00  5.05233E+01
1.4393788E+00  5.04617E+01
1.4465757E+00  5.03980E+01
1.4538086E+00  5.03322E+01
1.4610776E+00  5.02643E+01
1.4683830E+00  5.01942E+01
1.4757249E+00  5.01218E+01
1.4831035E+00  5.00471E+01
1.4905190E+00  4.99700E+01
1.4979716E+00  4.98904E+01
1.5054615E+00  4.98083E+01
1.5129888E+00  4.97235E+01
1.5205537E+00  4.96359E+01
1.5281565E+00  4.95455E+01
1.5357973E+00  4.94522E+01
1.5434763E+00  4.93559E+01
1.5511937E+00  4.92563E+01
1.5589496E+00  4.91535E+01
1.5667444E+00  4.90472E+01
1.5745781E+00  4.89373E+01
1.5824510E+00  4.88238E+01
1.5903633E+00  4.87063E+01
1.5983151E+00  4.85847E+01
1.6063066E+00  4.84589E+01
1.6143382E+00  4.83286E+01
1.6224099E+00  4.81935E+01
1.6305219E+00  4.80536E+01
1.6386745E+00  4.79084E+01
1.6468679E+00  4.77619E+01
1.6551022E+00  4.76054E+01
1.6633777E+00  4.74428E+01
1.6716946E+00  4.72738E+01
1.6800531E+00  4.70978E+01
1.6884534E+00  4.69144E+01
1.6968956E+00  4.67232E+01
