#Data for Z=76, E=0.2-100 keV
#     E              f2 
#   keV           e atom-1
2.013709E-01  1.9145E+01
2.152655E-01  2.0628E+01
2.301188E-01  2.1867E+01
2.459970E-01  2.2842E+01
2.629708E-01  2.3542E+01
2.673440E-01  2.3659E+01
2.714360E-01  2.3751E+01
2.725272E-01  2.3772E+01
2.741640E-01  2.4465E+01
2.782560E-01  2.4553E+01
2.811158E-01  2.4606E+01
2.836120E-01  2.4646E+01
2.879530E-01  2.4704E+01
2.891106E-01  2.4717E+01
2.908470E-01  2.5243E+01
2.951880E-01  2.5291E+01
3.005128E-01  2.5334E+01
3.212482E-01  2.5351E+01
3.434143E-01  2.5183E+01
3.671099E-01  2.4870E+01
3.924405E-01  2.4446E+01
4.195189E-01  2.3940E+01
4.484657E-01  2.3377E+01
4.588360E-01  2.3174E+01
4.658590E-01  2.3037E+01
4.677318E-01  2.3000E+01
4.705410E-01  2.4498E+01
4.775640E-01  2.4371E+01
4.794098E-01  2.4338E+01
5.0000000E-01  2.3970E+01
5.0250000E-01  2.3926E+01
5.0501250E-01  2.3881E+01
5.0753756E-01  2.3837E+01
5.1007525E-01  2.3792E+01
5.1262563E-01  2.3747E+01
5.1518875E-01  2.3702E+01
5.1776470E-01  2.3658E+01
5.2035352E-01  2.3612E+01
5.2295529E-01  2.3567E+01
5.2557007E-01  2.3522E+01
5.2819792E-01  2.3476E+01
5.3083891E-01  2.3431E+01
5.3349310E-01  2.3385E+01
5.3616057E-01  2.3339E+01
5.3884137E-01  2.3293E+01
5.4153558E-01  2.3247E+01
5.4424325E-01  2.3200E+01
5.4571853E-01  2.3175E+01
5.4696447E-01  2.3520E+01
5.4728152E-01  2.3514E+01
5.4969929E-01  2.3475E+01
5.5244779E-01  2.3430E+01
5.5521003E-01  2.3385E+01
5.5798608E-01  2.3340E+01
5.6077601E-01  2.3295E+01
5.6357989E-01  2.3249E+01
5.6639779E-01  2.3204E+01
5.6922978E-01  2.3158E+01
5.7207593E-01  2.3112E+01
5.7493630E-01  2.3066E+01
5.7781099E-01  2.3020E+01
5.8070004E-01  2.2974E+01
5.8360354E-01  2.2928E+01
5.8652156E-01  2.2881E+01
5.8945417E-01  2.2835E+01
5.9240144E-01  2.2788E+01
5.9536345E-01  2.2741E+01
5.9834026E-01  2.2694E+01
6.0133196E-01  2.2647E+01
6.0433862E-01  2.2600E+01
6.0736032E-01  2.2553E+01
6.1039712E-01  2.2505E+01
6.1344910E-01  2.2458E+01
6.1651635E-01  2.2410E+01
6.1959893E-01  2.2362E+01
6.2269693E-01  2.2314E+01
6.2581041E-01  2.2266E+01
6.2893946E-01  2.2218E+01
6.3208416E-01  2.2169E+01
6.3524458E-01  2.2121E+01
6.3842080E-01  2.2072E+01
6.4161291E-01  2.2023E+01
6.4482097E-01  2.1974E+01
6.4804508E-01  2.1925E+01
6.5128530E-01  2.1876E+01
6.5327272E-01  2.1846E+01
6.5454173E-01  2.2362E+01
6.5532723E-01  2.2350E+01
6.5781444E-01  2.2313E+01
6.6110351E-01  2.2264E+01
6.6440903E-01  2.2215E+01
6.6773107E-01  2.2166E+01
6.7106973E-01  2.2117E+01
6.7442508E-01  2.2068E+01
6.7779720E-01  2.2018E+01
6.8118619E-01  2.1969E+01
6.8459212E-01  2.1919E+01
6.8801508E-01  2.1869E+01
6.9145515E-01  2.1819E+01
6.9491243E-01  2.1769E+01
6.9838699E-01  2.1719E+01
7.0187893E-01  2.1669E+01
7.0538832E-01  2.1618E+01
7.0891526E-01  2.1568E+01
7.1245984E-01  2.1517E+01
7.1602214E-01  2.1466E+01
7.1960225E-01  2.1415E+01
7.2320026E-01  2.1364E+01
7.2681626E-01  2.1313E+01
7.3045034E-01  2.1261E+01
7.3410260E-01  2.1210E+01
7.3777311E-01  2.1158E+01
7.4146197E-01  2.1106E+01
7.4516928E-01  2.1054E+01
7.4889513E-01  2.1002E+01
7.5263961E-01  2.0950E+01
7.5640280E-01  2.0898E+01
7.6018482E-01  2.0845E+01
7.6398574E-01  2.0792E+01
7.6780567E-01  2.0740E+01
7.7164470E-01  2.0687E+01
7.7550292E-01  2.0634E+01
7.7938044E-01  2.0581E+01
7.8327734E-01  2.0527E+01
7.8719373E-01  2.0474E+01
7.9112969E-01  2.0420E+01
7.9508534E-01  2.0366E+01
7.9906077E-01  2.0311E+01
8.0305607E-01  2.0256E+01
8.0707135E-01  2.0201E+01
8.1110671E-01  2.0146E+01
8.1516224E-01  2.0091E+01
8.1923806E-01  2.0035E+01
8.2333425E-01  1.9980E+01
8.2745092E-01  1.9924E+01
8.3158817E-01  1.9868E+01
8.3574611E-01  1.9812E+01
8.3992484E-01  1.9756E+01
8.4412447E-01  1.9700E+01
8.4834509E-01  1.9644E+01
8.5258682E-01  1.9588E+01
8.5684975E-01  1.9532E+01
8.6113400E-01  1.9475E+01
8.6543967E-01  1.9418E+01
8.6976687E-01  1.9360E+01
8.7411570E-01  1.9284E+01
8.7848628E-01  1.9209E+01
8.8287871E-01  1.9133E+01
8.8729310E-01  1.9058E+01
8.9172957E-01  1.8982E+01
8.9618822E-01  1.8907E+01
9.0066916E-01  1.8831E+01
9.0517250E-01  1.8756E+01
9.0969837E-01  1.8681E+01
9.1424686E-01  1.8606E+01
9.1881809E-01  1.8531E+01
9.2341218E-01  1.8456E+01
9.2802924E-01  1.8381E+01
9.3266939E-01  1.8307E+01
9.3733274E-01  1.8232E+01
9.4201940E-01  1.8157E+01
9.4672950E-01  1.8083E+01
9.5146315E-01  1.8008E+01
9.5622046E-01  1.7934E+01
9.6100156E-01  1.7860E+01
9.6580657E-01  1.7787E+01
9.7063560E-01  1.7713E+01
9.7548878E-01  1.7640E+01
9.8036623E-01  1.7566E+01
9.8526806E-01  1.7493E+01
9.9019440E-01  1.7421E+01
9.9514537E-01  1.7348E+01
1.0001211E+00  1.7275E+01
1.0051217E+00  1.7180E+01
1.0101473E+00  1.7084E+01
1.0151980E+00  1.6990E+01
1.0202740E+00  1.6896E+01
1.0253754E+00  1.6803E+01
1.0305023E+00  1.6710E+01
1.0356548E+00  1.6618E+01
1.0408331E+00  1.6526E+01
1.0460372E+00  1.6435E+01
1.0512674E+00  1.6345E+01
1.0565238E+00  1.6255E+01
1.0618064E+00  1.6166E+01
1.0671154E+00  1.6078E+01
1.0724510E+00  1.5990E+01
1.0778132E+00  1.5903E+01
1.0832023E+00  1.5816E+01
1.0886183E+00  1.5731E+01
1.0940614E+00  1.5640E+01
1.0995317E+00  1.5544E+01
1.1050294E+00  1.5450E+01
1.1105545E+00  1.5356E+01
1.1161073E+00  1.5262E+01
1.1216878E+00  1.5170E+01
1.1272963E+00  1.5078E+01
1.1329328E+00  1.4987E+01
1.1385974E+00  1.4896E+01
1.1442904E+00  1.4807E+01
1.1500119E+00  1.4718E+01
1.1557619E+00  1.4630E+01
1.1615407E+00  1.4538E+01
1.1673484E+00  1.4444E+01
1.1731852E+00  1.4352E+01
1.1790511E+00  1.4260E+01
1.1849464E+00  1.4169E+01
1.1908711E+00  1.4079E+01
1.1968254E+00  1.3989E+01
1.2028096E+00  1.3900E+01
1.2088236E+00  1.3812E+01
1.2148677E+00  1.3725E+01
1.2209421E+00  1.3639E+01
1.2270468E+00  1.3553E+01
1.2331820E+00  1.3468E+01
1.2393479E+00  1.3384E+01
1.2455447E+00  1.3300E+01
1.2517724E+00  1.3217E+01
1.2580312E+00  1.3135E+01
1.2643214E+00  1.3053E+01
1.2706430E+00  1.2972E+01
1.2769962E+00  1.2892E+01
1.2833812E+00  1.2813E+01
1.2897981E+00  1.2734E+01
1.2962471E+00  1.2656E+01
1.3027283E+00  1.2578E+01
1.3092420E+00  1.2501E+01
1.3157882E+00  1.2425E+01
1.3223671E+00  1.2349E+01
1.3289790E+00  1.2274E+01
1.3356239E+00  1.2200E+01
1.3423020E+00  1.2126E+01
1.3490135E+00  1.2053E+01
1.3557586E+00  1.1980E+01
1.3625374E+00  1.1908E+01
1.3693500E+00  1.1837E+01
1.3761968E+00  1.1766E+01
1.3830778E+00  1.1696E+01
1.3899932E+00  1.1626E+01
1.3969431E+00  1.1557E+01
1.4039278E+00  1.1488E+01
1.4109475E+00  1.1420E+01
1.4180022E+00  1.1353E+01
1.4250922E+00  1.1286E+01
1.4322177E+00  1.1219E+01
1.4393788E+00  1.1154E+01
1.4465757E+00  1.1088E+01
1.4538086E+00  1.1023E+01
1.4610776E+00  1.0959E+01
1.4683830E+00  1.0895E+01
1.4757249E+00  1.0832E+01
1.4831035E+00  1.0769E+01
1.4905190E+00  1.0707E+01
1.4979716E+00  1.0645E+01
1.5054615E+00  1.0584E+01
1.5129888E+00  1.0523E+01
1.5205537E+00  1.0463E+01
1.5281565E+00  1.0403E+01
1.5357973E+00  1.0344E+01
1.5434763E+00  1.0285E+01
1.5511937E+00  1.0226E+01
1.5589496E+00  1.0168E+01
1.5667444E+00  1.0111E+01
1.5745781E+00  1.0054E+01
1.5824510E+00  9.9971E+00
1.5903633E+00  9.9408E+00
1.5983151E+00  9.8850E+00
1.6063066E+00  9.8297E+00
1.6143382E+00  9.7747E+00
1.6224099E+00  9.7202E+00
1.6305219E+00  9.6661E+00
1.6386745E+00  9.6124E+00
1.6468679E+00  9.5591E+00
1.6551022E+00  9.5062E+00
1.6633777E+00  9.4538E+00
1.6716946E+00  9.4017E+00
1.6800531E+00  9.3501E+00
1.6884534E+00  9.2988E+00
1.6968956E+00  9.2479E+00
1.7053801E+00  9.1974E+00
1.7139070E+00  9.1473E+00
1.7224766E+00  9.0976E+00
1.7310889E+00  9.0483E+00
1.7397444E+00  8.9993E+00
1.7484431E+00  8.9507E+00
1.7571853E+00  8.9025E+00
1.7659712E+00  8.8546E+00
1.7748011E+00  8.8071E+00
1.7836751E+00  8.7600E+00
1.7925935E+00  8.7132E+00
1.8015565E+00  8.6667E+00
1.8105642E+00  8.6206E+00
1.8196171E+00  8.5749E+00
1.8287151E+00  8.5295E+00
1.8378587E+00  8.4844E+00
1.8470480E+00  8.4397E+00
1.8562833E+00  8.3953E+00
1.8655647E+00  8.3512E+00
1.8748925E+00  8.3070E+00
1.8842670E+00  8.2616E+00
1.8936883E+00  8.2166E+00
1.9031567E+00  8.1719E+00
1.9126725E+00  8.1275E+00
1.9222359E+00  8.0835E+00
1.9318471E+00  8.0397E+00
1.9415063E+00  7.9963E+00
1.9512138E+00  7.9532E+00
1.9596590E+00  7.9161E+00
1.9605411E+00  2.5515E+01
1.9609699E+00  2.5507E+01
1.9707747E+00  2.5329E+01
1.9806286E+00  2.5152E+01
1.9905318E+00  2.4976E+01
2.0004844E+00  2.4801E+01
2.0104868E+00  2.4628E+01
2.0205393E+00  2.4456E+01
2.0299512E+00  2.4297E+01
2.0306420E+00  2.4285E+01
2.0316490E+00  3.5899E+01
2.0407952E+00  3.5668E+01
2.0509992E+00  3.5413E+01
2.0612542E+00  3.5160E+01
2.0715604E+00  3.4909E+01
2.0819182E+00  3.4660E+01
2.0923278E+00  3.4413E+01
2.1027895E+00  3.4168E+01
2.1133034E+00  3.3924E+01
2.1238699E+00  3.3683E+01
2.1344893E+00  3.3443E+01
2.1451617E+00  3.3205E+01
2.1558875E+00  3.2969E+01
2.1666670E+00  3.2735E+01
2.1775003E+00  3.2502E+01
2.1883878E+00  3.2271E+01
2.1993297E+00  3.2041E+01
2.2103264E+00  3.1812E+01
2.2213780E+00  3.1586E+01
2.2324849E+00  3.1361E+01
2.2436473E+00  3.1138E+01
2.2548656E+00  3.0916E+01
2.2661399E+00  3.0696E+01
2.2774706E+00  3.0478E+01
2.2888579E+00  3.0261E+01
2.3003022E+00  3.0046E+01
2.3118037E+00  2.9833E+01
2.3233628E+00  2.9621E+01
2.3349796E+00  2.9411E+01
2.3466545E+00  2.9202E+01
